EAN,Descricao,Validade,Status,Setor,DataCadastro
7898605845064,VITACLINICAL ZINCO 30MG 60CPS,2027-08,ativo,MARCOS,2026-02-21
7898661013650,BIO ZINCO PURA VIDA 30CPS,2027-09,ativo,MARCOS,2026-02-21
7896094921139,ADDERA CAL 2.000UI 90CP,2027-10,ativo,MARCOS,2026-02-21
7896094921153,ADDERA CAL 1.000UI 30CP,2026-11,ativo,MARCOS,2026-02-21
7896094928572,ADDERA MAX CAL 30CP,2026-09,ativo,MARCOS,2026-02-21
7896094921122,ADDERA CAL 2.000UI 30CP,2027-11,ativo,MARCOS,2026-02-21
7896094919594,ADDERA D3 600UI GTS 5ML,2027-06,ativo,MARCOS,2026-02-21
7896112401711,DOSS 1.000UI GTS 10ML,2027-07,ativo,MARCOS,2026-02-21
7896094920507,ADDERA D3 400UI GTS 10ML,2027-06,ativo,MARCOS,2026-02-21
7891317018122,ALTA D 500UI GTS 10ML,2027-08,ativo,MARCOS,2026-02-21
7896112402329,DOSS 1.000UI 30CPS GEL,2027-06,ativo,MARCOS,2026-02-21
7896658024078,DOSE D MACA VERDE 10ML,2027-06,ativo,MARCOS,2026-02-21
7892828001016,Adeforte 1amp,2027-07,ativo,MARCOS,2026-02-21
7898582272853,BEM VITA VIT D3 200UI GOTAS 20ML LIMAO,2027-10,ativo,MARCOS,2026-02-21
7898687730593,VITAMINA D 2.000UI 30CPS ALTHAIA,2027-09,ativo,MARCOS,2026-02-21
7896658024085,DOSE D MACA VERDE 20ML,2027-02,ativo,MARCOS,2026-02-21
7896112402336,DOSS 1.000UI 90CPS GEL,2026-06,ativo,MARCOS,2026-02-21
7896006207733,FONT D 200UI/GOTA 20ML,2027-10,ativo,MARCOS,2026-02-21
7898665434123,Vita D3 10ml Vitafor,2027-09,ativo,MARCOS,2026-02-21
7898605845071,VITACLINICAL VITAMINA D3 2000UI 60CPS,2027-09,ativo,MARCOS,2026-02-21
7896112401513,VITAMINA D3 1.000UI 30CPS GN BIOLAB,2027-06,ativo,MARCOS,2026-02-21
7896658037948,SANY D 2.000UI 60CPS,2027-09,ativo,MARCOS,2026-02-21
7898430194627,DPREV TODO DIA 1.000UI 30CP,2027-07,ativo,MARCOS,2026-02-21
7891317021702,VITAMINA D 500UI GTS 10ML EURO,2027-06,ativo,MARCOS,2026-02-21
7896006222767,BIO-C KIDS EFERVESCENTE 10CP,2027-01,ativo,MARCOS,2026-02-21
7898216363827,AGIL C KIDS PLUS LARANJA 40PAST GOMAS,2027-04,ativo,MARCOS,2026-02-21
7896714290218,BLUMEL IMUNE KIDS 30 GOMAS,2027-05,ativo,MARCOS,2026-02-21
7896006229988,BIO-C 200MG SOL GOTAS 20ML,2027-09,ativo,MARCOS,2026-02-21
7896920306055,MILMUNE KIDS 30 GOMAS MORANGO,2026-08,ativo,MARCOS,2026-02-21
7896023724602,MELAGRIAO KIDS VIT C 30 GOMAS,2027-02,ativo,MARCOS,2026-02-21
7896023716430,VITAMINA C 1000MG 30CPS CATARINENSE,2027-08,ativo,MARCOS,2026-02-21
7898655576512,17898655576519,2027-06,ativo,MARCOS,2026-02-21
7896004774329,ENERGIL ZINCO 1GR 10CP EFERV,2027-06,ativo,MARCOS,2026-02-21
7896004774305,ENERGIL C 1GR 10CP EFERV,2027-06,ativo,MARCOS,2026-02-21
7896714291215,VITAMINA C + ZINCO 10CP EFERV NQ,2026-08,ativo,MARCOS,2026-02-21
7896714291222,VITAMINAS NEO QUIMICA VIT C 10CP EFERV,2027-03,ativo,MARCOS,2026-02-21
7908348616323,BEM VITA VIT C D + ZINCO 30CP EFERV,2027-07,ativo,MARCOS,2026-02-21
7908348616316,BEM VITA VIT C D + ZINCO 10CP EFERV,2027-05,ativo,MARCOS,2026-02-21
7898716455558,BEM VITA VIT C + ZINCO 30CP EFERV LARANJA,2027-06,ativo,MARCOS,2026-02-21
7898716455541,BEM VITA VIT C + ZINCO 10CP EFERV LARANJA,2026-06,ativo,MARCOS,2026-02-21
7908348616309,BEM VITA VIT C 30CP EFERV,2027-07,ativo,MARCOS,2026-02-21
7908348616316,BEM VITA VIT C D + ZINCO 10CP EFERV,2027-05,ativo,MARCOS,2026-02-21
7897947600836,ACEVITON IMUNIDADE 60CP MASTIG,2027-06,ativo,MARCOS,2026-02-21
7897947616332,ACEVITON ZINCO 30CP EFERV,2027-06,ativo,MARCOS,2026-02-21
7897947616271,ACEVITON EFERV 1GR 10CP,2027-05,ativo,MARCOS,2026-02-21
7896006299363,BIO-C 500MG 30CPS,2027-09,ativo,MARCOS,2026-02-21
7896006218104,BIO-C TRIPLA ACAO 30CP EFERV,2027-06,ativo,MARCOS,2026-02-21
7896006207306,BIO-C ZINCO 1GR 30CP EFERV,2027-12,ativo,MARCOS,2026-02-21
7896006207290,BIO-C ZINCO 10CP EFERV,2027-02,ativo,MARCOS,2026-02-21
7896006229971,BIO-C 1GR 30CP,2027-10,ativo,MARCOS,2026-02-21
7896006229964,BIO-C 1GR 10CP,2027-04,ativo,MARCOS,2026-02-21
7891106912655,REDOXON TRIPLA ACAO 10CP EFERV,2026-08,ativo,MARCOS,2026-02-21
7891106907118,REDOXON 1GR TRIPLE PACK 30CP EFERV,2027-02,ativo,MARCOS,2026-02-21
7891106006279,REDOXON 1GR 10CP EFERV LARANJA,2027-08,ativo,MARCOS,2026-02-21
7891058001520,TARGIFOR CEWIN EFERV 1G 10CP LARANJA,2027-07,ativo,MARCOS,2026-02-21
7891058000295,TARGIFOR CEWIN 500MG 30CP,2027-09,ativo,MARCOS,2026-02-21
7891058000295,TARGIFOR CEWIN 500MG 30CP,2027-08,ativo,MARCOS,2026-02-21
7891058005467,TARGIFOR C 16CP EFERVESCENTE,2027-03,ativo,MARCOS,2026-02-21
7896006210948,BIOARGI-C 16CP EFERV UQ,2027-11,ativo,MARCOS,2026-02-21
7897460401651,REFORGAN 500MG 30CP,2027-01,ativo,MARCOS,2026-02-21
7891158106897,COBAVITAL 1MG+4MG 30CP,2027-08,ativo,MARCOS,2026-02-21
7891158106965,COBAVITAL 1MG+4MG 16CP,2026-11,ativo,MARCOS,2026-02-21
7891058005887,TARGIFOR TE ENERGIZA 60CP,2026-09,ativo,MARCOS,2026-02-21
7891317043148,FEMINIS 90CPS,2027-08,ativo,MARCOS,2026-02-21
7891317025137,FEMINIS 30CPS GEL,2027-06,ativo,MARCOS,2026-02-21
7908134200811,KIT REGENESIS PREMIUM LIPINOVA 60CPS 2UN,2028-05,ativo,MARCOS,2026-02-21
